Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Packets/s,Flow Bytes/s,Fwd Packet Length Mean,Bwd Packet Length Mean,Packet Length Mean,Flow IAT Mean,Flow IAT Std,SYN Flag Count,ACK Flag Count
300034,5,0,16.66477799,99.98866795,6.0,0.0,6.0,75008.5,147355.1172,0,1
8076283,8,4,1.485832034,1444.104918,7.0,2901.75,897.6153846,734207.5455,1898879.925,0,1
8475062,6,0,0.707959423,4.247756536,6.0,0.0,6.0,1695012.4,3789446.872,0,1
4369905,4,0,0.915351707,5.49211024,6.0,0.0,6.0,1456635.0,2522010.662,0,1
78815309,8,4,0.152254684,147.902738,7.0,2900.25,897.1538462,7165028.091,20100000.0,0,1
4588876,5,0,1.089591438,6.537548628,6.0,0.0,6.0,1147219.0,2293130.046,0,1
98200159,9,6,0.152749244,118.7676285,6.888888889,1933.5,729.3125,7014297.071,24400000.0,0,1
78531497,8,5,0.165538676,148.5136594,7.0,2321.4,833.5,6544291.417,22600000.0,0,1
62620,3,4,111.7853721,185675.503,8.666666667,2900.25,1453.375,10436.66667,16861.6956,0,0
6130840,5,0,0.81554893,4.893293578,6.0,0.0,6.0,1532710.0,3063067.509,0,1
30170,3,5,265.1640703,385581.7037,8.666666667,2321.4,1292.555556,4310.0,10937.01559,0,0
47230,3,6,190.5568495,246178.2765,8.666666667,1933.5,1162.7,5903.75,13818.91548,0,0
2002978,5,0,2.496283035,14.97769821,6.0,0.0,6.0,500744.5,999484.6655,0,1
97722725,8,5,0.133029446,119.3478794,7.0,2321.4,833.5,8143560.417,26500000.0,0,1
33269,3,4,210.4060837,349484.5051,8.666666667,2900.25,1453.375,5544.833333,10671.5374,0,0
34047,3,5,234.9693071,341674.7437,8.666666667,2321.4,1292.555556,4863.857143,12431.05677,0,0
9781544,5,0,0.511166744,3.067000465,6.0,0.0,6.0,2445386.0,4889433.346,0,1
2120956,5,0,2.3574275,14.144565,6.0,0.0,6.0,530239.0,1059150.103,0,1
5727932,5,0,0.872915391,5.237492345,6.0,0.0,6.0,1431983.0,2860597.657,0,1
3101875,4,0,1.289542615,7.737255692,6.0,0.0,6.0,1033958.333,1790308.049,0,1
7977033,8,6,1.755038496,1461.320268,7.0,1933.5,777.5333333,613617.9231,1709790.331,0,1
10244667,4,0,0.390447049,2.342682295,6.0,0.0,6.0,3414889.0,5913893.514,0,1
2033884,5,0,2.458350624,14.75010374,6.0,0.0,6.0,508471.0,1016272.109,0,1
3397368,4,0,1.17738202,7.064292123,6.0,0.0,6.0,1132456.0,1960882.432,0,1
11780785,5,0,0.424419935,2.546519608,6.0,0.0,6.0,2945196.25,5888847.929,0,1
111640,3,6,80.61626657,104201.0032,8.666666667,1934.5,1163.3,13955.0,39065.30908,0,0
6254817,4,0,0.639507119,3.837042714,6.0,0.0,6.0,2084939.0,3610356.019,0,1
6759970,4,0,0.591718602,3.550311614,6.0,0.0,6.0,2253323.333,3902003.639,0,1
2070742,5,0,2.414593416,14.4875605,6.0,0.0,6.0,517685.5,1034560.337,0,1
80261217,8,4,0.149511812,145.2382662,7.0,2900.25,897.1538462,7296474.273,22800000.0,0,1
8046824,5,0,0.621363161,3.728178968,6.0,0.0,6.0,2011706.0,4022078.11,0,1
11371798,5,0,0.439684208,2.638105249,6.0,0.0,6.0,2842949.5,5685235.019,0,1
81810531,8,6,0.171127113,142.5611087,7.0,1934.5,777.9333333,6293117.769,20100000.0,0,1
100052,3,5,79.95842162,116209.571,8.666666667,2320.2,1291.888889,14293.14286,30693.93734,0,0
94177003,8,6,0.148656249,123.7775638,7.0,1933.5,777.5333333,7244384.846,24600000.0,0,1
8086787,5,0,0.618292531,3.709755185,6.0,0.0,6.0,2021696.75,4042734.193,0,1
8133532,4,0,0.491791266,2.950747596,6.0,0.0,6.0,2711177.333,4695160.769,0,1
932321,2,7,9.653327556,12464.59106,10.0,1657.285714,1162.1,116540.125,327717.4045,0,0
80587386,8,6,0.173724459,144.7248829,7.0,1934.5,777.9333333,6199029.692,19400000.0,0,1
517067,2,5,13.53789741,22474.84369,10.0,2320.2,1452.625,86177.83333,205426.1323,0,0
73711431,8,5,0.176363419,158.1437213,7.0,2320.2,833.0714286,6142619.25,18500000.0,0,1
2150988,5,0,2.3245132,13.9470792,6.0,0.0,6.0,537747.0,1074446.8,0,1
71730466,8,6,0.195175088,162.5947892,7.0,1934.5,777.9333333,5517728.154,19000000.0,0,1
81875086,8,5,0.158778459,142.4487053,7.0,2321.4,833.5,6822923.833,20800000.0,0,1
91346867,8,5,0.142314678,127.6781611,7.0,2321.4,833.5,7612238.917,25000000.0,0,1
7935776,4,0,0.504046485,3.024278911,6.0,0.0,6.0,2645258.667,4577395.998,0,1
758773,3,4,9.225420514,15323.42347,8.666666667,2900.25,1453.375,126462.1667,307713.4692,0,0
26101,3,7,383.1270833,445461.8597,8.666666667,1657.285714,1057.0,2900.111111,7347.61821,0,0
6915872,6,0,0.867569556,5.205417336,6.0,0.0,6.0,1383174.4,3091701.991,0,1
748411,3,4,9.353149539,15543.59837,8.666666667,2901.75,1454.125,124735.1667,305271.5292,0,0
71690408,9,6,0.209233012,162.7693345,6.888888889,1934.5,729.6875,5120743.429,16900000.0,0,1
71061537,8,5,0.182940034,164.1253552,7.0,2321.4,833.5,5921794.75,19400000.0,0,1
10571022,5,0,0.472991164,2.837946984,6.0,0.0,6.0,2642755.5,5284846.353,0,1
8761858,4,0,0.456524176,2.739145053,6.0,0.0,6.0,2920619.333,5057721.466,0,1
10407781,5,0,0.480409801,2.882458807,6.0,0.0,6.0,2601945.25,5203222.521,0,1
1763478,3,4,3.969428595,6593.220896,8.666666667,2900.25,1453.375,293913.0,718277.567,0,0
635767,3,7,15.72903281,18288.14644,8.666666667,1657.285714,1057.0,70640.77778,206465.2372,0,0
100469624,8,5,0.129392343,116.0848377,7.0,2321.4,833.5,8372468.667,26100000.0,0,1
6459320,4,0,0.619260232,3.71556139,6.0,0.0,6.0,2153106.667,3728692.583,0,1
71148319,9,6,0.210827188,163.925166,6.888888889,1933.5,729.3125,5082022.786,16600000.0,0,1
2012546,5,0,2.484415263,14.90649158,6.0,0.0,6.0,503136.5,1005086.404,0,1
77009057,9,5,0.181796798,151.4497184,6.888888889,2320.2,777.9333333,5923773.615,18500000.0,0,1
9483295,4,0,0.421794324,2.530765942,6.0,0.0,6.0,3161098.333,5469116.12,0,1
81928579,8,7,0.183086295,142.3556974,7.0,1658.142857,729.3125,5852041.357,20700000.0,0,1
1299411,3,6,6.926215031,8952.517718,8.666666667,1934.5,1163.3,162426.375,458931.1796,0,0
8191798,4,0,0.48829329,2.929759743,6.0,0.0,6.0,2730599.333,4727793.578,0,1
12056657,4,0,0.331766923,1.990601541,6.0,0.0,6.0,4018885.667,6960041.229,0,1
8593045,5,0,0.581865916,3.491195496,6.0,0.0,6.0,2148261.25,4293852.914,0,1
30658,3,5,260.9433101,379248.4833,8.666666667,2320.2,1291.888889,4379.714286,10303.26762,0,0
168055,5,0,29.75216447,178.5129868,6.0,0.0,6.0,42013.75,80036.36135,0,1
51504,3,4,135.9117738,225749.4564,8.666666667,2900.25,1453.375,8584.0,13001.41571,0,0
666478,3,5,12.00339696,17454.43961,8.666666667,2321.4,1292.555556,95211.14286,251357.4195,0,0
11950692,5,0,0.418385814,2.510314884,6.0,0.0,6.0,2987673.0,5974680.685,0,1
2706958,5,0,1.847091828,11.08255097,6.0,0.0,6.0,676739.5,1351434.217,0,1
1152797,3,4,6.072187905,10091.10884,8.666666667,2901.75,1454.125,192132.8333,470286.0026,0,0
5797806,5,0,0.862395189,5.174371133,6.0,0.0,6.0,1449451.5,2898229.038,0,1
804250,3,4,8.703761268,14456.94747,8.666666667,2900.25,1453.375,134041.6667,325033.4555,0,0
10109655,5,0,0.494576719,2.967460314,6.0,0.0,6.0,2527413.75,5053578.853,0,1
1734612,3,5,4.611982391,6702.939908,8.666666667,2320.2,1291.888889,247801.7143,652075.3416,0,0
102625468,8,5,0.126674209,113.646254,7.0,2321.4,833.5,8552122.333,26700000.0,0,1
80361333,9,6,0.186656934,145.2066506,6.888888889,1934.5,729.6875,5740095.214,17700000.0,0,1
86338119,8,4,0.138988435,135.0156818,7.0,2900.25,897.1538462,7848919.909,23400000.0,0,1
1810224,3,5,4.419342579,6422.96202,8.666666667,2320.2,1291.888889,258603.4286,680108.0063,0,0
96947485,8,4,0.123778353,120.302244,7.0,2901.75,897.6153846,8813407.727,28200000.0,0,1
75361,3,5,106.1557039,154284.0461,8.666666667,2320.2,1291.888889,10765.85714,26133.18977,0,0
